phase,area,perimeter,la,sa,lao
qtz,212.091585635,60.4219385087,23.1650840815,12.1903969129,179.5984517209
ksp,5252.7118135351,315.2227389304,97.8597771367,70.8693416908,160.9021108356
ksp,11154.8712258126,470.4782920823,170.3043328237,88.2667934579,66.2224168537
ksp,14040.4514191394,566.8452073575,189.4286522972,103.3618040027,74.2917974539
qtz,601.1414433905,114.7782266594,47.1100320138,18.3944065919,81.3586230442
ksp,12126.506632679,505.765695416,146.8440812502,113.120354272,142.8356372996
ksp,85.6979127265,35.9785725253,12.0396845829,9.3404309154,174.2569184391
pl,490.7698192953,97.7955932956,36.1064582321,18.2296285716,100.7514310674
ksp,31545.0825672753,847.3065471813,255.4988227465,163.3679999104,55.5888624119
ksp,5108.91144995,334.5647824377,100.734507424,69.6542046099,100.3192130611
ksp,1.8463419053,7.5758598121,2.9495231866,0.9637589342,161.9984626014
ksp,16018.470078422,621.5059147592,184.7751737811,116.0511395932,169.5548551674
qtz,1016.487382966,145.2416451847,49.433127899,27.6850390082,151.5697166055
ksp,0.3464872978,2.8920395511,1.0139486543,0.5261135168,102.8626612515
pl,5544.6400769477,405.3491035042,143.5717614054,68.8301536084,178.4148798264
ksp,15668.4246195331,758.6531189279,205.1117100689,142.8157474895,62.1656555319
qtz,1693.6787306395,199.2326293637,78.013431696,32.3806465992,37.3815878374
pl,1701.5897009058,163.635036967,55.692876754,39.3976987097,83.6917785603
ksp,24058.6068541133,707.414203179,257.2897834677,133.3276439751,163.6790251228
pl,431.5574648819,89.2569341767,33.5647075744,17.736934564,37.7929547371
pl,4928.5357619552,287.690610854,99.4758066399,66.1547842048,102.1349200776
pl,2658.6462168051,228.4963306946,78.8491637877,47.9753877155,115.0872631982
pl,1185.1032915313,132.8734593255,40.9094568023,37.7913173906,8.0517911534
ksp,11478.3601740262,656.2957708022,207.7955652623,85.1085559675,56.6078217539
qtz,7991.9982895524,522.8643200685,173.3800934091,76.465903484,48.175232737
pl,1658.7098966075,197.3852611879,69.313726521,38.3485497312,99.1224116947
ksp,531.8886135172,109.8128125349,31.1661588597,24.5044994165,70.3735262093
ksp,6420.5898529553,367.3396350125,120.5747078825,72.5313974504,99.9652457195
pl,7719.2138734403,417.2639945623,162.8460933755,64.625075721,147.1611823564
pl,8659.3400465551,442.313873889,136.3398190727,90.5165081268,166.9341577868
ksp,1172.8537765519,138.4298155643,44.8644318058,34.6247357101,111.5867022623
ksp,2633.7853623107,293.3657145901,72.7369827718,70.0771610175,10.0975725316
pl,4032.0386142898,325.4790225508,116.3477272169,49.1389230765,142.7598331045
ksp,399.3743112365,81.0055405456,28.8914233351,18.1182393408,84.0415807498
qtz,400.1775000127,90.7340358033,31.523667526,18.3322717507,28.6890863866
ksp,3498.5855800102,271.7092533923,77.0805033589,61.947282804,168.1482747963
ksp,3680.9022516698,239.7631866198,72.4983544534,66.436205326,44.343440929
pl,2.6871332117,15.7903029318,7.0919150825,0.583356142,119.1712259855
pl,1595.3980998416,152.0055013906,47.7411554481,43.5685238421,64.8580865386
pl,1136.7141465398,146.7357550306,43.6780123968,35.33991998,133.9407058595
ksp,3085.0119355239,248.1017112964,86.9130628405,48.4868715113,42.271849817
pl,332.0833974527,69.8289806664,22.2560073989,19.5429342918,9.9116348557
pl,7681.4534427105,428.2322150137,147.2623089775,71.313033652,7.6688649482
pl,6193.5915519579,315.1228396257,107.1029403381,75.8608730357,16.2969822247
pl,1897.9582383792,234.5745817657,98.7957960911,26.9295676473,174.6230839088
pl,460.3303563884,89.9615280803,34.8466536599,17.2889136389,40.2372080811
ksp,28883.9253661699,1006.1367130983,244.6774101301,175.2569478547,26.0386061744
ksp,2769.1111109187,300.2814330505,122.5005352921,37.9759806837,61.633720026
pl,194.996170497,56.3357781393,20.5897139119,12.3705573559,69.6448787469
pl,1078.5285846187,142.791980291,42.3579820021,35.6452533893,137.7709610337
pl,972.2068163815,134.0560582081,46.4309285731,28.8569483314,15.0861003826
ksp,24320.4751351868,898.0477922832,238.9445605819,141.892205985,128.6786879876
qtz,1198.304989726,144.6476691686,53.4755660148,29.8464873004,100.9529435297
qtz,385.1393708756,84.0982383015,24.2613978069,23.1567813238,67.2143783315
pl,4459.7413738331,349.5798356124,118.9045106537,54.7856750502,42.0658756376
ksp,25565.1283990266,952.7047417057,250.9819684969,140.3062019798,77.4388669768
pl,143.1135783066,59.0979506942,25.8273683129,7.4878532547,118.5497592495
pl,97.937835912,39.3213596433,13.948939092,9.1597683334,101.6702644847
ksp,529.1760776801,90.6511831844,30.3311911865,22.9263976989,87.8700370239
ksp,454.6129727555,108.0821824602,42.0791282357,16.5046280243,11.488899026
ksp,361.9855963591,77.9448468242,26.141845988,18.7987779154,90.544094105
ksp,617.4497245176,121.8056364797,34.7739204911,27.943022312,61.5811667574
qtz,107.1431771808,40.7809555017,13.7420150751,10.6264798906,63.5130734858
pl,906.515522372,122.5205428305,42.1686164315,29.1517873549,167.1662013183
qtz,2614.7502152494,208.9251276132,67.7837579456,52.37499924,8.7439840741
ksp,843.5096085864,117.7083774745,39.164823574,28.498438399,123.9492489918
qtz,8452.5882206042,359.703834131,127.5476394401,85.9880518751,56.1067461478
pl,2017.4262067112,212.4443768139,64.0511806251,46.096874203,176.3359446777
pl,1574.2921266244,153.8759494393,46.9309474939,44.7774015183,137.6737236523
pl,1898.2205477405,173.4937776578,62.3245528832,39.9744265466,150.4650199388
pl,761.2317896229,125.2830936125,52.7306473469,19.8884713008,41.157289365
ksp,600.5632927493,101.7990924727,39.0015230236,20.2044995169,25.0435432551
pl,808.5253391059,128.4186095619,50.2649647502,22.4538303952,155.1904104641
pl,402.3190990262,115.1143649851,53.1369061288,13.4364187196,80.7866207816
qtz,1360.4993686877,158.4919230336,62.1011384489,28.8158143015,3.8182282783
qtz,4961.9355546568,374.140175172,128.452464954,58.058551014,25.7306959516
pl,2790.9672763365,281.4620728946,74.6352513052,63.9101920191,144.1694984081
ksp,255.2555958395,61.6388889081,19.6655366068,16.9839890767,72.4559413385
pl,2537.1687928337,219.8471264418,78.4690275236,44.8120950974,100.7777590717
ksp,18701.6497996105,630.2769693539,199.3976977545,123.9589437781,92.8561529866
qtz,8520.8536639424,504.9552041593,142.7084925732,90.8386389241,57.1284307612
ksp,3344.2472199497,309.3455213956,109.4291617394,47.8113137777,28.9427153309
pl,3851.2388527544,253.6909693107,83.4864348907,63.4173324198,158.5929479731
